Item,Invoice_ID,Quantity,Price,Sanctuary_ID,Emp_ID
KEPsvmoxQHyjBjUw,7051003730,9,146655.92986965989,10,zvELYyVdr88
GPOadSXiIin,203580571,3,22591.226826717917,19,ncQfTdP68
COYsksNNqbnx,9935330482,6,222366.4344780915,58,qltTOpb95
ArspUGODUi,4811938793,4,180617.726916478,14,FjVnY90
VufHuWyZlXYA,4776541294,6,272050.93989641045,25,SflpP67
jZAEBbVeXVAWUQhgd,59081035,9,649329.9397290912,71,FrEbeQ36
WYFuJCVGpdsVAnpRg,018926846,9,291089.9865334107,34,ghsDr87
ArspUGODUi,283600217,6,270926.59037471697,15,jPAcUsxw56
TINuxnBeoUHwSyuFNk,613628,3,219142.48587856314,96,prmAqQs41
urVWuMAsqICZYNMB,768619509,8,749934.68898968,64,LeJVSM96
dnCVhLMvOOOhWivM,98924327810,6,44629.48344720769,98,akpHvbsb7
tXdwFzNLyEhtqE,6399416411,9,108504.18636391418,80,lkcSYgD4
EVLfwAMmanluSvq,20810078912,1,24465.09065458235,72,prmAqQs41
HUhOEBfdflouTSL,6499613,8,677005.4871003684,79,VVEaZPJMw77
tDofkzVjTrW,87191105214,7,509962.7232388661,58,LQCDp13
OndFDhWHqLrMiTPD,65626515,5,472813.1398505904,59,NcjIV35
GPOadSXiIin,2924516,3,22591.226826717917,33,GGIrIOv66
lbctFLdTRXBSwnxQrQa,526269017,5,275350.6470704649,47,jKJAkjLW98
urVWuMAsqICZYNMB,20501200918,3,281225.50837113,28,HhqAKiCtY55
RZGQmSmUCIYxVjLf,6998640019,7,12504.08500815569,33,JBGZAiBE97
jwfJIdAmXuV,6734520,2,141517.36666543497,9,voafz79
KBkzvfxrVLEYEkx,82690411021,8,27349.33580155487,27,bAOMWiFGH6
izGPGLZKXkSq,30125022,5,362372.6127702467,58,LzzaH57
TdZrkhtkORxVdaSBOt,9313105223,4,220111.59725827829,2,bAOMWiFGH6
cjOQzcWjhRw,57594124,5,103581.1656171447,36,VVEaZPJMw77
