Item,Rate
NZoKmTZIkvsE,39360.640618551224
HUhOEBfdflouTSL,84625.68588754605
iwOHtzSLGW,34611.68264952301
MJwZeKcWrl,65606.30544188141
qrqjLTSXxBKnuu,80256.6371448041
lCGhjUeEtSZG,80192.79437509358
VDHYlLGmvUuGLWi,19635.021174705165
YRGQiItigPYdMq,72574.78306330275
EVLfwAMmanluSvq,24465.09065458235
PYAIPAccwnsqmC,10661.80680494032
FqCNoGwuDDNGlYRFUJ,13180.870621755259
njraQxgpajuymknlvIe,45168.72923202389
ptFZKmoBsQFCgByb,87485.73661263482
MUuIPlxMsi,5435.46292889913
sUPKQXEcNFILAxpxxsd,56997.80871745184
RZGQmSmUCIYxVjLf,1786.2978583079555
UQDhAawhMgCTUQk,12100.5944628035
PKYaWSPfNoLDLg,97773.24578432164
WyLzzJKKTFfysjnWx,72988.09911551666
hEtvEdRlzBog,96978.85231869934
hfsQubJceFuJgg,4964.099567626384
JOUqUdOyLEnqsFjtX,60344.770142635745
gjuNSCFBKsEyJbhqEms,26521.55351189273
FoUYgWyczOzNWBN,53788.79014294597
TdZrkhtkORxVdaSBOt,55027.89931456957
mRrlTsmNvpK,62693.441010968716
sBNalGDvRT,8756.764385938464
ifPATQFVzhhfTtNS,78324.9376437342
ArspUGODUi,45154.4317291195
urVWuMAsqICZYNMB,93741.83612371
dmOUnGLfAnhU,71653.13672522538
suMeZflgAs,15048.398554326357
tXdwFzNLyEhtqE,12056.020707101576
TwYMLcLbmNkM,45125.09109929965
VisPJmuxMiffQQLV,22853.75133551902
JYTRmXYhMXvNbNZEOal,56334.88265878329
TzcrEwrzFN,96996.71774116535
bKCQVfjKtVW,35907.406134090576
uzLKqhpFnzdc,27381.18525110439
JAAuCZakzJIL,85328.5382420338
nmSzZHBGHhoSYTDnH,68753.53460654337
jwfJIdAmXuV,70758.68333271748
DeruadMpsBb,81691.78951260897
WYFuJCVGpdsVAnpRg,32343.33183704563
BDrzatKIdSq,93396.53090281608
CcshzXNYssxfcYd,58002.621401808785
linnzMXDNZMqAr,20532.372170802464
zyYRTpclyu,24943.56391134988
rFzfYeadFKUw,5365.982916850753
cjOQzcWjhRw,20716.233123428938
GfNaGMOkOjdIwQ,74003.3578751945
bywvtzXnQeVloQ,83690.6168526038
rSdhYvKRwVowJ,61362.64000786683
gQVhhwWYkVPZ,81474.31441079456
COYsksNNqbnx,37061.07241301525
TINuxnBeoUHwSyuFNk,73047.49529285438
UihiryNZVm,94054.80432045802
wVkbGZEdtX,77498.02702807846
VELfkXcZHdjYbIbd,90983.07695160239
MOdxgYvzMLEPnDRdBza,13932.630162102183
OLQSejrJbsbTTuD,6419.5451712568865
fhDMFPJJmjzBfM,81022.66138625708
LugbnzjBhz,72116.72938468865
RKrgjKEUMbRtFpYZqd,25540.99269419781
tDofkzVjTrW,72851.81760555229
ZeUOQtEJjBnowcnfejK,23075.613660857736
gUxrcoXTWyjzi,97478.21888968791
sxfBDUeXusPhcMX,68956.48629971631
zWaNlACNYveNZF,6257.9432938855225
IviupakiFgLWW,81708.00475796299
fhFrxbMBCXwuGCfkqw,19299.56597081383
VufHuWyZlXYA,45341.82331606841
PkBkcFgdBZLgThO,27891.305815618885
uDRLzRpHaRsI,20830.688098706767
izGPGLZKXkSq,72474.52255404934
sDzxcMqfyes,85960.7513282305
qQvfGwxKiSBf,82636.76851355897
DnzADGDCwTSt,88334.41819623165
jTnADfhPbmcUZY,23842.648576402597
LcTRrdhDkdnXtzXTP,73267.59045430513
hzsyfjpzEA,53732.671183425184
MaKvzTlKzLSAnTUg,99764.44883454853
LkLhnXrFwnkNTc,57244.29777013511
KEPsvmoxQHyjBjUw,16295.1033188511
pWKajkAjVwanPgVDRy,90224.15972283378
qfGDxpjmwIaSQUAufA,41543.705596415144
jZAEBbVeXVAWUQhgd,72147.77108101014
dnCVhLMvOOOhWivM,7438.247241201282
TKPPHwzRGWSCs,57823.185041188626
FiyIlEZWVVG,88123.11255778272
mzTGIftSzdPJLkPQpi,94716.28950019821
GTOxzniEOmjJp,4498.07418189244
wbQpkapXEzMGhGJjuot,85466.53637525685
KBkzvfxrVLEYEkx,3418.6669751943587
cBHclmrXIXrnRY,41374.090409544406
GPOadSXiIin,7530.408942239306
lAUirJkXYibLbxYTD,18771.851629005167
OndFDhWHqLrMiTPD,94562.62797011809
lbctFLdTRXBSwnxQrQa,55070.12941409298
vpqRGEcoGPogYIXlmt,28017.179813216317
