Species,Animal_Name,Disease,History_of_illness,Emp_ID
RcXdxL,Pseudocheirus peregrinus,RrjVx62,External parasites in poultry,irAsDcYslyoAx
WxqsOhV,Uraeginthus bengalus,MusxbYMC16,Cattle tick,oSXcwIXKrdPTcRYgb
jQZcUpnHZVzpgzVcZp,Gopherus agassizii,ZzmZwSjgK33,Swine brucellosis,SDfvmwKNmGuLlvl
EEIjZcTLeKlDtB,Ramphastos tucanus,lkWrOCuW94,Australian bat lyssavirus,SSstEIhXE
xEVQOhRnlqjdCzy,Bettongia penicillata,KlgnIV89,Vibriosis (Campylobacteriosis),sJnFqfrkFiZjjVCZSP
SkZQvVoHjBLRXpRePC,Actophilornis africanus,DOgye73,Copper deficiency in ruminants,wQxXUVfJgn
brsNegBvZR,Grus antigone,DOgye73,Brucellosis,AvplrMIYSmmHGqrxJgF
uNTnBdCMoZXRGVu,Felis silvestris lybica,PDSCD42,African horse sickness,ykYvmGbLObIACORkEAT
BmTQUQeaoBTCwuN,Spizaetus coronatus,ghsDr87,Rabies due to rabies virus,cGtgTmzAwluyq
nTJvvhZr,Mirounga angustirostris,DOgye73,Screw-worm fly,BWTMRjOMuKKuMeAee
JFEHfGdY,Cordylus giganteus,vlHhoYt44,Lumpy skin disease,kabmGHKmSJcDpHAAx
tHFqbHaV,Actophilornis africanus,nlCacOAy28,Rabies due to rabies virus,eNunpxlLwFmnqeYMfv
bRiESUun,Felis concolor,uaABX31,Marek's disease,VaBfuezDxXoXbXvY
NKSwFHgI,Lamprotornis superbus,SZHlB47,Lumpy jaw,PftZCUdU
pWagKfNyiY,Junonia genoveua,uaABX31,Neosporosis,NGumjEmS
VeboOucGSERCBIhlW,Felis concolor,qtIdph37,Piglet scours,jYEToq
DbVYQ,Pavo cristatus,haLIVnS81,African horse sickness,YOAWsezFwAfq
ODUNSpSAbF,Tetracerus quadricornis,UEJIXAtkg59,Marek's disease,PVLbTXYEd
GtBowjVQ,Salvadora hexalepis,rrmqrM2,Lumpy skin disease,VHsGeOkbpba
ogYlwWzJFi,Felis concolor,XSSoIvm19,Hydatid disease,jatGFAQgSHtEmGMeBDZ
EtWbwalxLvLLzuNWKKL,Catharacta skua,QkaUt38,Melioidosis,BAscsamg
BlOsWpM,Cordylus giganteus,YlHnnjG40,External parasites in poultry,WJqBiGAZZVrnlafwy
YXHzHePGVYfOfKG,Bettongia penicillata,DceupFyx65,Wooden tongue,deJwuBqbSHu
CtKDuvAPMtIRlUTyME,Papio ursinus,ZplXMS54,Canine ehrlichiosis,HGNsfRoQTOpEZukkr
LGiPpeX,Oreamnos americanus,hGQrQDj24,Tetanus,EFakox
