Species
Oreamnos americanus
Cercopithecus aethiops
Papio cynocephalus
Butorides striatus
Gerbillus sp.
Hystrix cristata
Lamprotornis superbus
Amphibolurus barbatus
Equus burchelli
Canis lupus lycaon
Mirounga angustirostris
Iguana iguana
Sus scrofa
Uraeginthus granatina
Lepilemur rufescens
Zenaida asiatica
Nycticorax nycticorax
Pseudalopex gymnocercus
Pseudocheirus peregrinus
Zenaida galapagoensis
Spizaetus coronatus
Ovis ammon
Macropus eugenii
Mellivora capensis
Catharacta skua
Actophilornis africanus
Antidorcas marsupialis
Toxostoma curvirostre
Equus hemionus
Felis concolor
Acrantophis madagascariensis
Petaurus norfolcensis
Meles meles
Paradoxurus hermaphroditus
Streptopelia senegalensis
Dendrocitta vagabunda
Macaca radiata
Salvadora hexalepis
Bettongia penicillata
Nyctanassa violacea
Manouria emys
Galictis vittata
Sula dactylatra
Ramphastos tucanus
Lama pacos
Bucorvus leadbeateri
Aonyx capensis
Cordylus giganteus
Pytilia melba
Phalaropus lobatus
Mazama gouazoubira
Trichosurus vulpecula
Lemur catta
Ara ararauna
Eremophila alpestris
Paroaria gularis
Antilocapra americana
Felis silvestris lybica
Tetracerus quadricornis
Chlidonias leucopterus
Geochelone elegans
Bubalus arnee
Ciconia ciconia
Macropus fuliginosus
Ovibos moschatus
Egretta thula
Limosa haemastica
Anastomus oscitans
Pteronura brasiliensis
Bison bison
Spheniscus mendiculus
Phasianus colchicus
Corvus albicollis
Oxybelis fulgidus
Papio ursinus
Echimys chrysurus
Eumetopias jubatus
Laniarius ferrugineus
Microcebus murinus
Grus antigone
Genetta genetta
Tadorna tadorna
Sarcorhamphus papa
Pavo cristatus
Uraeginthus bengalus
unavailable
Vulpes cinereoargenteus
Lamprotornis nitens
Spermophilus armatus
Francolinus coqui
Coluber constrictor
Capreolus capreolus
Junonia genoveua
Thylogale stigmatica
Gopherus agassizii
Ara macao
Cervus elaphus
Halcyon smyrnesis
Canis aureus
Alopochen aegyptiacus
Haematopus ater
Psophia viridis
Lorythaixoides concolor
Macropus agilis
Ammospermophilus nelsoni
Gyps bengalensis
Oryx gazella
Phoeniconaias minor
Macropus parryi
Ephipplorhynchus senegalensis
Leprocaulinus vipera
Spermophilus tridecemlineatus
Mungos mungo
Redunca redunca
Ursus americanus
Epicrates cenchria maurus
Meleagris gallopavo
Acridotheres tristis
Giraffe camelopardalis
Spermophilus richardsonii
Lasiodora parahybana
Cervus duvauceli
Graspus graspus
Haliaeetus leucocephalus
Ninox superciliaris
Hymenolaimus malacorhynchus
Tamiasciurus hudsonicus
Tachybaptus ruficollis
Terrapene carolina
Anser caerulescens
Carduelis uropygialis
Deroptyus accipitrinus
Cygnus buccinator
Otaria flavescens
Coendou prehensilis
Erethizon dorsatum
Macaca mulatta
Vulpes chama
Fratercula corniculata
Phalacrocorax albiventer
Neophoca cinerea
Ateles paniscus
Axis axis
Ara chloroptera
Seiurus aurocapillus
Suricata suricatta
Felis wiedi or Leopardus weidi
Macaca nemestrina
Anas bahamensis
Kobus defassa
Agouti paca
Vanessa indica
Dasypus novemcinctus
Sylvicapra grimma
Phoenicopterus chilensis
Ploceus rubiginosus
Gazella granti
Choriotis kori
Aegypius tracheliotus
Varanus salvator
Parus atricapillus
Dacelo novaeguineae
Ictalurus furcatus
Haliaeetus leucoryphus
Phoca vitulina
Cervus canadensis
Kobus leche robertsi
Corvus brachyrhynchos
Ratufa indica
Theropithecus gelada
Thalasseus maximus
Ephippiorhynchus mycteria
Nyctereutes procyonoides
Balearica pavonina
Terathopius ecaudatus
Cochlearius cochlearius
Laniaurius atrococcineus
Loris tardigratus
Paraxerus cepapi
Perameles nasuta
Procyon cancrivorus
Caiman crocodilus
Vanellus chilensis
Drymarchon corias couperi
Felis caracal
Chloephaga melanoptera
Camelus dromedarius
Anhinga rufa
Choloepus hoffmani
Gymnorhina tibicen
Zonotrichia capensis
Panthera leo persica
Milvus migrans
Alopex lagopus
Oreotragus oreotragus
Pycnonotus nigricans
Ursus maritimus
Chordeiles minor
Acrobates pygmaeus
Stercorarius longicausus
Dasypus septemcincus
Streptopelia decipiens
Francolinus swainsonii
Chlamydosaurus kingii
Falco peregrinus
Vulpes vulpes
Charadrius tricollaris
Melanerpes erythrocephalus
Isoodon obesulus
Aonyx cinerea
Dendrohyrax brucel
Globicephala melas
Erinaceus frontalis
Morelia spilotes variegata
Trichoglossus chlorolepidotus
Coracias caudata
Cacatua galerita
Trachyphonus vaillantii
Aquila chrysaetos
Ctenophorus ornatus
Tiliqua scincoides
Phalacrocorax carbo
