name,Population,Trend,Male_female_ratio,Birth_rate,Life_expectancy,Remarks
Oreamnos americanus,450553,94.98275432690227,557.5874268119559,95,61,uzGxtwVMUPqnPWNbvqN
Cercopithecus aethiops,885637,-13.110381126215785,409.8638645942134,674,95,NrBkROLAPGmarPgr
Papio cynocephalus,130590,-73.08322687353174,866.4526355767925,329,40,oNzWI
Butorides striatus,465578,53.4433987013135,502.2985564963872,486,52,PYVuPdVZzr
Gerbillus sp.,39301,-54.24891462460846,258.3846930032951,529,3,qKnEIWp
Hystrix cristata,181287,77.94602198986735,670.6312919394343,602,17,qjPZwFf
Lamprotornis superbus,91094,5.017539813601047,540.2539635114196,494,81,LDgxSuAdsVWiel
Amphibolurus barbatus,505731,-82.93333606876084,330.91021049153136,961,12,eJdvESvuydJvCkjMWdC
Equus burchelli,551086,1.9408019620586572,295.3845528283939,622,39,jrSEK
Canis lupus lycaon,980078,-0.25709556929196253,624.9941006974833,992,25,seMumzyTn
Mirounga angustirostris,47823,10.159232363266497,383.6855465092762,67,33,FVImveExGp
Iguana iguana,643939,51.75528156271213,711.384376056948,569,6,GowTtPWzFsq
Sus scrofa,686449,75.42246132269256,631.1991098085839,643,7,lsJTdDjsgrWjrIyE
Uraeginthus granatina,750398,3.6313371495365345,680.842918065213,92,99,QBDLIult
Lepilemur rufescens,227125,4.23663931739182,978.61412725023,572,0,FgBAdWwpfsTHBuR
Zenaida asiatica,810890,3.522743222241772,164.04325605640636,925,44,RoWmYDpzLwDnkhibjS
Nycticorax nycticorax,987253,59.98664845473539,518.8221894552862,226,31,cGGyxhEUc
Pseudalopex gymnocercus,977815,24.7665042879933,760.8764461747471,112,84,qyHEAqzBKtvTK
Pseudocheirus peregrinus,929077,-15.906018567989875,54.623413197742224,600,40,JUFtIiOCfiPLIIoxsoB
Zenaida galapagoensis,123537,-70.77450067067477,373.5817604185411,428,69,XFMVKHOIHZxaZ
Spizaetus coronatus,811941,40.08738138081799,311.0820675005792,834,23,ngFvHZBtC
Ovis ammon,966185,-66.25060277849728,306.12886576289156,187,55,zarantV
Macropus eugenii,359665,34.20389439214645,986.5472969859317,202,70,UTigBsDJd
Mellivora capensis,649886,70.78514792088609,204.74486445013505,562,90,kRnMUKzkPXSAUw
Catharacta skua,759573,-17.373624206220313,859.1058138836476,900,54,LLCpwGAfRGPA
Actophilornis africanus,849911,-72.68875106731076,768.0985795104784,42,83,ncyJmMLTUd
Antidorcas marsupialis,372947,-47.453650386211876,574.0159228224918,669,55,CrzXKOKGVnkj
Toxostoma curvirostre,361473,-5.094890657805436,58.44763501786643,996,47,hPgvNGgGKAvsjyQeuKo
Equus hemionus,595698,75.09834221873868,704.5852343051554,196,33,DJcbGWHkp
Felis concolor,776846,17.419497007351353,650.5613501837399,913,55,jqtrcSlDBVHM
